path_id,selected_policy_loss,bc_policy_loss,sac_policy_loss,selector_ex_post_regret,interpretation_boundary
test_000_4ae657b9eeec,118425.61582376699,117878.55670256354,294010.75062749704,547.0591212034487,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_077_b1f2e84dc844,111393.11446422436,110957.4828648747,288440.32343636017,435.6315993496537,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_078_367d379a9297,112937.00421306565,112440.34754121897,283268.8865257804,496.65667184667836,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_079_bce06ca59758,107430.68416551879,107273.33005934548,265405.2678080162,157.35410617331218,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_080_e669407a98d7,122233.15291030072,121607.08339608253,296485.3001276137,626.069514218194,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_081_fbbd80304765,119211.14959877142,118688.06314028411,275751.7075853951,523.0864584873052,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_082_2cf496ac3a99,119503.63530781398,118940.40302773735,296462.1726474522,563.2322800766269,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_083_4cbdde5f376f,114040.27482671378,113473.06707395463,290139.21193241136,567.2077527591464,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_084_513eb18f351c,116661.08390798188,116125.9327917392,289889.0580691316,535.1511162426905,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_085_650c50514b66,118658.38888987382,118149.81554944192,302849.9778999316,508.5733404319035,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_086_754dc8e1ab0e,123058.68530516967,122792.90339627159,298414.686121411,265.7819088980759,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_087_cbc79ee243dd,123205.44053590832,122697.12183622034,288585.6358546918,508.3186996879813,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
