warning_scenario,base_path_id,base_physical_path_sha256,total_blocked,peak_blocked,mean_serviceability,minimum_serviceability,recovery_rate,weeks
GT,test_008_fabe46a0ea00,0996fbf8c5be056e9a791faf37c1568c2dc3325672b618fb6690495c48960310,1622.7721112195609,123.63887266771418,0.342545601563533,0.0,0.020092798954846842,29
GT,test_009_c8ef87e47101,03ce056d9504b5b9251870ba36fce4267bfe22fa89f4bd0577a9954153b78ab2,1669.490272059582,111.75490988104326,0.3452075496255309,0.0,0.019053328884915066,29
GT,test_010_613ab99db82c,8253022823d5a215e2583b996ae67139d72d8adc75a9ea76d7291e805e31f0a2,1596.1666300111426,115.86622176195873,0.33921389330405904,0.0,0.01955125424125286,29
GT,test_011_8a2e74b38d5d,b824165b944fb1d86e7d4136e62bf979a2d34ce44df3cdf01e75a763724ca312,1768.3289933950941,116.20194962071531,0.3405263215003498,0.0,0.01762052812821036,29
GT,test_012_b6bdc05b20a7,edeec4d1f91f6f1c3ba0da1aaf276e2980c22cd017c9d346001dbdbeef6561d5,1757.7842299500323,118.97212351878035,0.33300593504899845,0.0,0.019859539531836796,29
GT,test_013_040653995d85,2a3f86788826a75d0de1d4e0c5a0a4ad5dd4e8f1e00bcf6e5fda30c62147be3e,1570.3228793966168,102.35730166179444,0.34863280854622336,0.0,0.021408900288647167,29
GT,test_014_f00647451070,7ad601c322ea2fcf691d98774905f79d0c6933a53f28eeac922ceab084665ca3,1611.4500284192827,123.05250432204701,0.3471164965651124,0.0,0.021681457320713478,29
GT,test_015_643a837775f9,0bdb5da5c9f39a1f5f16016cd38cb9bd2d3650ade00801bf72abf1b5c1ef2fe9,1886.217509995813,111.91324628702267,0.3378731483932017,0.0,0.019116781372854153,29
GT,test_016_45a90ccef8bd,5d3ce39b508a4ccb3e9dcf8f61989ac456296e3755e7ad04d31e21895bc1ec7a,1766.7048315985269,113.47964082303795,0.3394758672499892,0.0,0.017784536648194436,29
GT,test_017_ebd333a3cdba,a3c85008563f8c8c015d326ebf96d911a84dfa810c1806a6610330bd74827e2b,1713.8726919260546,114.05944321882663,0.33958855027958135,0.0,0.01940411526877208,29
GT,test_018_9466cee538c9,86253eb5a2d091cc16d1f9a3a320e171c30977628d47b9c2faefafd18ea0aa0d,1747.6630418793675,123.27066960160091,0.34182032524212697,0.0,0.01994077248835961,29
GT,test_019_9d2b7462a57a,e3686a781bf5d9cc8a1a95f6cfee4adb410e97762f9815f7f575cd1c7c688f06,1774.266953493203,112.32603689282207,0.34651691801658757,0.0,0.019872266000397716,29
GT,test_020_701c8d28bc45,64a6b03bce01c1a89c724a633f63003ecd11109f06a7e37ec1b0cd196da48626,1756.9633773409655,113.93748905132912,0.3405557349812869,0.0,0.01753873119409312,29
GT,test_021_69299bc5d0bf,6e755751a4e65a356d16122e1fe19db7f245d1323155a143f838c95d128bde6f,1681.9336036891586,100.37905985626855,0.3378948867407737,0.0,0.017491622747465577,29
GT,test_022_1b3e72c80b5f,206d3dd2f49133cdef746f58bc516b176cdbc2a51f7ebbbc523df6455ae5b53c,1707.857604548998,110.54661282973048,0.33599464579739,0.0,0.01866405981316838,29
GT,test_023_90a8af416c5a,6f307309d3320cf90229ccbd42690532f83de1f86a41507c5e6229792230343f,1763.214896271224,115.04834569049939,0.34785278045746065,0.0,0.016723739565365714,29
GT,test_024_e90f261f99e2,a2217a451505b72ecffb15b706f82fa13dd02e5246239352e71c874c3e2b909b,1705.7823285593572,112.78297834425099,0.341054496786773,0.0,0.01864899625744356,29
GT,test_025_0c3eeaae0824,481de4be35a821cd093f24ffad7eca6efe30e96f4cd9848aff621fcb70d542fd,1712.9190176434897,105.88558066943858,0.3336703180023577,0.0,0.01884380365420568,29
GT,test_026_770d47ae1768,0f2bea7027db9d8baf45b68efc718379be3d8148c45feaa470d4d0623fef3f41,1719.8452297923343,105.1778705389786,0.33981167880576624,0.0,0.016748991061057535,29
GT,test_027_df5d670513fa,81fd0061cbc1e7018bd5b9eb1239ce1515bc6cbada40b12f82000eb260b5e055,1702.7551810040777,104.23768902085682,0.3363881002131817,0.0,0.02025736577638541,29
GT,test_028_e9fb02365dd3,5d802ed0aa2ed1e79c8a0eb81c45c7d2acaad5c313db1e25b12244cb5da1a3f1,1623.1564849967476,111.78864941516493,0.34417352204110674,0.0,0.02262858924680422,29
GT,test_029_b44f60718c5a,864fc5477a80617dcd1dfd105218334b6714ff3283b58095987765279672cc93,1650.0534878496655,112.42347129925922,0.33882701996210735,0.0,0.0187578639793163,29
GT,test_030_038f4c53d11f,c289c0180e19d4efe38d6fb3cf749dc58fb2fc82a28248babf37eba4d050247c,1668.1643630717354,97.6679053227609,0.3420363759221257,0.0,0.016611805392953368,29
GT,test_031_0a6ff70351b5,66453c50834fa3dcd176a36c69c2cd344e4023d8d34a02e0efe688cf2781c3f9,1652.098643848903,111.6864559772024,0.3399053776093784,0.0,0.02026693237239009,29
GT,test_032_efdf826e6bc3,f68d8f9fe8ed71a08598d0d2dbfcc8624aee20f294eb03c5d0d1b47b192231a8,1739.5566208253824,105.41206555273722,0.3349731571681389,0.0,0.018226420006940112,29
GT,test_033_de0c441dba67,7ec9546050ec128248d8d481b870b6380d6ca6d723d82627518325ffbdc72f3a,1727.6821154352788,115.83869229171734,0.33727094467820373,0.0,0.01764421771908711,29
GT,test_034_a00d80b83640,0f4bc5cfced121212348bbd1013ec4964294f487da2bfeef2082f3134c966878,1714.782126812562,106.4473097425005,0.339417800797397,0.0,0.018393111947156142,29
GT,test_035_51fd398978b7,b6fa16487d60759605dd86ad9e174dcae5c07eba9b0e4a208e41547329603d50,1637.498249427388,109.24044866821211,0.34218765572542975,0.0,0.01935667091740369,29
GT,test_036_7eb6ac1ca077,835e8a13ce793ee0d4c8d1922e6d12f857b647d3db30f415b92ebcca10cb9554,1686.3444665977177,97.53851921674767,0.33649832229494253,0.0,0.01683273474427756,29
GT,test_037_f096257ecaa4,0504d3553dd1b04e2daf266d9385ecec583ac5ee5143240ec48390c3637711cc,1866.3060637345652,112.3813005491062,0.33930904304738463,0.0,0.019970090514804677,29
GT,test_038_b05abc6e01b3,d70904feaac93846beafd0d4f452a87f57385097244d4e0d5b2934e20eff821f,1728.0776259476029,107.00120724069492,0.34885771579566377,0.0,0.019670873304872404,29
